City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Geraldton,AU,66.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
2,New Norfolk,AU,51.93,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
3,Los Llanos De Aridane,ES,64.13,scattered clouds,28.6585,-17.9182,Valle Aridane
4,Ushuaia,AR,51.46,broken clouds,-54.8,-68.3,Albatros Hotel
6,Bluff,NZ,57.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Busselton,AU,53.04,clear sky,-33.65,115.3333,Observatory Guest House
17,Barcelona,ES,53.85,few clouds,41.3888,2.159,Axel Hotel Barcelona
19,Guerrero Negro,MX,72.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
22,Mildura,AU,53.08,few clouds,-34.2,142.15,Mercure Hotel Mildura
23,Maxixe,MZ,74.32,clear sky,-23.8597,35.3472,Oceano
24,Bredasdorp,ZA,55.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
29,Jamestown,US,52.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Port Alfred,ZA,64.29,overcast clouds,-33.5906,26.891,The Halyards Hotel
32,Areosa,PT,51.33,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
33,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
36,Palmer,US,57.88,overcast clouds,42.1584,-72.3287,Wedgewood Motel
38,Yeppoon,AU,74.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
43,Hasaki,JP,50.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
47,Westport,US,57.33,broken clouds,41.1415,-73.3579,Norwalk Inn
52,Hirara,JP,66.74,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
54,Chuy,UY,67.46,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Tezu,IN,64.24,overcast clouds,27.9167,96.1667,Circuit House
62,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
66,Hobart,AU,52.27,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
72,Hamilton,US,66.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
73,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
75,Naze,JP,55.94,clear sky,28.3667,129.4833,Shishime Hotel
85,Ribeira Grande,PT,64.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
89,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
91,East London,ZA,66.31,overcast clouds,-33.0153,27.9116,Tu Casa
101,Itoman,JP,64.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
106,Camopi,GF,73.85,overcast clouds,3.1655,-52.3158,La pousada
108,Hermanus,ZA,61.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
110,Constitucion,CL,64.18,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
112,Victoria,HK,64.26,clear sky,22.2855,114.1577,Mini Hotel Central
117,Pittsburg,US,67.41,haze,38.028,-121.8847,Hampton Inn & Suites Pittsburg
119,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Hain
124,Ponta Do Sol,PT,65.03,clear sky,32.6667,-17.1,Hotel do Campo
128,Saint George,US,73.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
130,Ancud,CL,56.73,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
132,Phonhong,LA,60.76,overcast clouds,18.5007,102.4166,Manyvong Guest House
142,Lakes Entrance,AU,59.58,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
144,Comodoro Rivadavia,AR,62.46,scattered clouds,-45.8667,-67.5,Austral Hotel
145,Wonthaggi,AU,53.2,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
146,Airai,TL,61.75,moderate rain,-8.9266,125.4092,Juvinal Martin
147,Ledyard,US,58.69,scattered clouds,41.4398,-72.0142,Stonecroft Country Inn
148,Marsa Matruh,EG,63.41,overcast clouds,31.3525,27.2453,Beau Site
149,Roma,US,52.43,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
151,Cidreira,BR,68.85,overcast clouds,-30.1811,-50.2056,Hotel Castelo
153,Tura,IN,62.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
155,Saldanha,ZA,60.51,clear sky,-33.0117,17.9442,Blue Bay Lodge
157,Nakhon Luang,TH,73.35,overcast clouds,14.4628,100.6083,ร้านดรเสริมสวย
159,Dawlatabad,AF,61.12,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
167,Kaitangata,NZ,55.62,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
170,Matamoros,MX,73.51,broken clouds,25.5333,-103.25,Quinta Belem
171,Nelson Bay,AU,65.08,few clouds,-32.7167,152.15,Mantra Nelson Bay
173,Te Anau,NZ,54.77,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
175,Buraydah,SA,59.49,scattered clouds,26.326,43.975,فندق راحة السلام
