,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Andres,12.5847,-81.7006,81.81,76,43,19.84,CO,2021-12-01 02:01:25
1,Ostrovnoy,68.0531,39.5131,25.36,62,100,36.26,RU,2021-12-01 01:57:08
2,Isangel,-19.55,169.2667,87.91,70,75,6.91,VU,2021-12-01 01:57:08
3,Nalut,30.3333,10.85,48.7,56,4,8.72,LY,2021-12-01 01:57:08
4,Kidal,18.4411,1.4078,73.87,14,51,10.65,ML,2021-12-01 02:03:21
5,Mataura,-46.1927,168.8643,68.49,53,48,5.7,NZ,2021-12-01 02:03:01
6,Port Elizabeth,-33.918,25.5701,63.1,87,75,2.8,ZA,2021-12-01 02:00:15
7,New Norfolk,-42.7826,147.0587,89.65,27,100,1.99,AU,2021-12-01 02:03:22
8,Cherskiy,68.75,161.3,-15.66,98,100,5.73,RU,2021-12-01 02:03:22
9,Busselton,-33.65,115.3333,65.08,51,100,7.58,AU,2021-12-01 02:03:22
10,Lebu,-37.6167,-73.65,52.81,92,8,10.76,CL,2021-12-01 02:03:23
11,Jamestown,42.097,-79.2353,38.79,82,90,11.01,US,2021-12-01 02:02:35
12,Dresden,51.0509,13.7383,43.3,88,75,1.99,DE,2021-12-01 01:57:10
13,Hilo,19.7297,-155.09,81.63,73,98,7.0,US,2021-12-01 01:53:23
14,Pimenteiras,-6.2453,-41.4192,74.91,84,33,2.77,BR,2021-12-01 01:57:11
15,Bambous Virieux,-20.3428,57.7575,73.22,73,23,10.8,MU,2021-12-01 02:03:24
16,Vaini,-21.2,-175.2,82.56,83,40,10.36,TO,2021-12-01 02:03:24
17,Barrow,71.2906,-156.7887,-20.27,98,44,9.84,US,2021-12-01 01:55:01
18,Beringovskiy,63.05,179.3167,17.15,93,100,9.28,RU,2021-12-01 01:52:16
19,Carnarvon,-24.8667,113.6333,75.27,60,0,23.02,AU,2021-12-01 01:57:12
20,Hobart,-42.8794,147.3294,90.01,38,75,3.0,AU,2021-12-01 01:57:12
21,Kodinsk,58.6881,99.1844,19.09,87,100,14.2,RU,2021-12-01 01:57:12
22,Ribeira Grande,38.5167,-28.7,62.73,75,57,7.87,PT,2021-12-01 02:01:30
23,Lorengau,-2.0226,147.2712,85.87,64,13,6.6,PG,2021-12-01 01:57:13
24,Punta Arenas,-53.15,-70.9167,53.71,54,75,10.36,CL,2021-12-01 01:59:32
25,Castro,-24.7911,-50.0119,61.3,60,0,3.58,BR,2021-12-01 01:57:13
26,Las Margaritas,16.3167,-91.9833,56.28,98,13,5.32,MX,2021-12-01 02:01:31
27,Ode,7.7899,5.7117,71.44,51,92,2.62,NG,2021-12-01 01:57:14
28,Tommot,58.9564,126.2925,-5.4,90,100,3.51,RU,2021-12-01 01:57:14
29,Saharsa,25.8833,86.6,65.82,58,22,3.22,IN,2021-12-01 01:57:14
30,Cape Town,-33.9258,18.4232,62.28,76,18,5.17,ZA,2021-12-01 02:00:49
31,Arraial Do Cabo,-22.9661,-42.0278,74.12,87,100,14.92,BR,2021-12-01 01:59:33
32,Vestmannaeyjar,63.4427,-20.2734,26.55,75,5,19.42,IS,2021-12-01 01:57:15
33,Mahibadhoo,3.7833,72.9667,81.79,77,11,9.24,MV,2021-12-01 01:57:16
34,Tiksi,71.6872,128.8694,-23.85,98,99,6.76,RU,2021-12-01 01:57:16
35,Sechura,-5.5569,-80.8222,67.14,81,33,12.48,PE,2021-12-01 01:57:16
36,Raudeberg,61.9875,5.1352,31.87,92,97,3.85,NO,2021-12-01 01:57:16
37,Avarua,-21.2078,-159.775,78.85,78,75,14.97,CK,2021-12-01 01:57:17
38,Saint-Philippe,-21.3585,55.7679,76.59,78,74,7.99,RE,2021-12-01 01:57:17
39,Port Moresby,-9.4431,147.1797,85.24,68,94,6.15,PG,2021-12-01 02:01:32
40,Albany,42.6001,-73.9662,34.81,86,82,3.58,US,2021-12-01 01:57:02
41,Rikitea,-23.1203,-134.9692,76.42,76,0,19.55,PF,2021-12-01 01:57:18
42,Yataity,-26.3667,-56.0667,62.64,68,0,3.15,PY,2021-12-01 01:57:18
43,Kodiak,57.79,-152.4072,24.17,88,100,8.23,US,2021-12-01 01:57:18
44,Kapaa,22.0752,-159.319,77.18,75,20,1.99,US,2021-12-01 01:53:25
45,Ponta Do Sol,32.6667,-17.1,62.71,76,90,4.88,PT,2021-12-01 01:57:19
46,Tasiilaq,65.6145,-37.6368,11.52,88,100,6.22,GL,2021-12-01 01:57:19
47,Filadelfia,39.9523,-75.1638,43.02,66,85,3.0,US,2021-12-01 01:56:38
48,Bayji,34.9311,43.487,63.05,44,100,15.01,IQ,2021-12-01 01:57:20
49,Coquimbo,-29.9533,-71.3436,56.93,82,0,3.44,CL,2021-12-01 01:57:20
50,Miastko,54.0028,16.9826,27.84,90,97,4.12,PL,2021-12-01 01:57:20
51,Bengkulu,-3.8004,102.2655,79.72,75,100,3.56,ID,2021-12-01 01:57:21
52,Namibe,-15.1961,12.1522,68.59,84,100,3.6,AO,2021-12-01 01:57:21
53,Yulara,-25.2406,130.9889,96.64,11,0,6.91,AU,2021-12-01 01:57:21
54,Marang,5.2056,103.2059,78.71,82,96,1.45,MY,2021-12-01 01:57:21
55,Nanortalik,60.1432,-45.2371,37.72,89,100,26.51,GL,2021-12-01 01:57:22
56,Koumra,8.9126,17.5539,75.78,35,13,0.67,TD,2021-12-01 01:57:22
57,La Grande,45.3246,-118.0877,53.06,76,100,5.77,US,2021-12-01 02:03:29
58,Atuona,-9.8,-139.0333,78.98,75,6,20.38,PF,2021-12-01 01:57:23
59,Ushuaia,-54.8,-68.3,56.86,41,75,20.71,AR,2021-12-01 01:57:23
60,Hermanus,-34.4187,19.2345,59.9,84,11,8.63,ZA,2021-12-01 01:57:23
61,Puerto Ayora,-0.7393,-90.3518,68.79,91,39,6.69,EC,2021-12-01 02:03:29
62,Maumere,-8.6199,122.2111,86.02,67,100,3.62,ID,2021-12-01 01:57:24
63,Mount Pleasant,32.7941,-79.8626,52.99,88,1,1.99,US,2021-12-01 02:03:30
64,Fort Nelson,58.8053,-122.7002,-2.79,98,100,4.5,CA,2021-12-01 02:03:30
65,Nakasongola,1.3089,32.4564,64.94,87,96,2.57,UG,2021-12-01 01:57:25
66,Qandala,11.472,49.8728,74.43,50,3,3.42,SO,2021-12-01 01:57:26
67,Vestmanna,62.1564,-7.1664,31.12,74,75,5.75,FO,2021-12-01 01:57:26
68,Mahebourg,-20.4081,57.7,77.29,78,40,4.61,MU,2021-12-01 01:57:26
69,Mount Gambier,-37.8333,140.7667,73.2,52,4,8.28,AU,2021-12-01 02:03:31
70,Lavrentiya,65.5833,-171.0,-13.86,88,4,8.99,RU,2021-12-01 01:57:27
71,Wajid,3.8093,43.2471,71.73,76,100,12.28,SO,2021-12-01 01:57:28
72,Port Alfred,-33.5906,26.891,65.03,82,98,7.14,ZA,2021-12-01 02:03:32
73,Pevek,69.7008,170.3133,-12.14,99,100,1.23,RU,2021-12-01 01:57:28
74,Thompson,55.7435,-97.8558,-5.64,84,75,2.3,CA,2021-12-01 01:54:40
75,Marsa Matruh,31.3525,27.2453,63.46,66,98,20.67,EG,2021-12-01 02:03:32
76,Vardo,70.3705,31.1107,34.11,54,100,31.99,NO,2021-12-01 01:57:29
77,Bethel,41.3712,-73.414,39.18,84,56,1.01,US,2021-12-01 01:57:29
78,Butaritari,3.0707,172.7902,82.11,76,90,8.14,KI,2021-12-01 01:57:30
79,Lons-Le-Saunier,46.75,5.75,36.82,88,100,7.74,FR,2021-12-01 01:57:30
80,General Roca,-39.0333,-67.5833,79.2,42,75,17.98,AR,2021-12-01 02:03:33
81,Saint George,37.1041,-113.5841,61.36,32,1,1.01,US,2021-12-01 02:03:34
82,Sevsk,52.1491,34.4926,27.88,80,47,10.38,RU,2021-12-01 01:57:31
83,Sao Filipe,14.8961,-24.4956,73.81,70,100,10.89,CV,2021-12-01 02:03:34
84,Caravelas,-17.7125,-39.2481,76.3,93,100,9.51,BR,2021-12-01 01:57:32
85,Ilulissat,69.2167,-51.1,25.07,81,95,9.33,GL,2021-12-01 01:57:32
86,Sept-Iles,50.2001,-66.3821,24.06,60,40,8.99,CA,2021-12-01 01:57:32
87,Torbay,47.6666,-52.7314,40.68,86,40,27.63,CA,2021-12-01 01:57:33
88,Tuktoyaktuk,69.4541,-133.0374,-29.2,75,1,2.3,CA,2021-12-01 01:57:33
