City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Praia,CV,2021-11-29 18:42:47,14.9215,-23.5087,77.54,65,20,23.02
1,Atuona,PF,2021-11-29 18:42:47,-9.8,-139.0333,78.21,78,33,23.24
2,Lebu,CL,2021-11-29 18:42:47,-37.6167,-73.65,59.34,75,100,19.13
3,Lorengau,PG,2021-11-29 18:42:48,-2.0226,147.2712,81.79,79,100,7.4
4,Kapaa,US,2021-11-29 18:37:54,22.0752,-159.319,75.52,69,40,4.0
5,Raga,SS,2021-11-29 18:42:48,8.4596,25.678,84.27,33,84,3.22
6,Mackenzie,CA,2021-11-29 18:42:49,55.2999,-123.1698,28.62,74,1,6.91
7,Bhatapara,IN,2021-11-29 18:42:49,21.7333,81.9333,66.74,42,54,4.32
8,Butaritari,KI,2021-11-29 18:42:49,3.0707,172.7902,81.1,81,33,11.59
9,Arraial Do Cabo,BR,2021-11-29 18:42:50,-22.9661,-42.0278,85.96,74,0,18.41
10,Mahebourg,MU,2021-11-29 18:42:50,-20.4081,57.7,75.49,78,20,3.44
11,Laguna,US,2021-11-29 18:42:51,38.421,-121.4238,73.22,77,1,1.99
12,Norman Wells,CA,2021-11-29 18:42:17,65.282,-126.8329,-21.96,63,20,9.22
13,Barrow,US,2021-11-29 18:42:51,71.2906,-156.7887,-18.38,69,1,8.05
14,Mar Del Plata,AR,2021-11-29 18:42:24,-38.0023,-57.5575,66.22,91,75,17.0
15,Honningsvag,NO,2021-11-29 18:42:52,70.9821,25.9704,15.55,86,75,29.93
16,Bambous Virieux,MU,2021-11-29 18:42:52,-20.3428,57.7575,75.45,78,20,3.44
17,Katsuura,JP,2021-11-29 18:42:52,35.1333,140.3,44.71,73,62,13.58
18,Chengzihe,CN,2021-11-29 18:42:53,45.3333,131.0667,20.25,93,100,4.05
19,Bengkulu,ID,2021-11-29 18:42:53,-3.8004,102.2655,75.72,87,100,9.57
20,Iqaluit,CA,2021-11-29 18:42:53,63.7506,-68.5145,17.33,86,90,17.27
21,Chistogorskiy,RU,2021-11-29 18:42:54,53.9835,87.3843,11.28,97,100,2.59
22,Tautira,PF,2021-11-29 18:42:54,-17.7333,-149.15,84.22,80,98,18.57
